selected_stock,leg_stock,pvalue
EMN,JCI,4.4e-13
JBHT,JCI,4.74e-13
DOV,JCI,1.12e-11
CSX,JCI,4.3e-09
DOV,PXD,6.43e-06
MLM,MPWR,1.51e-05
SWK,WAT,2.27e-05
BBWI,JCI,2.53e-05
FDX,JCI,6.95e-05
MLM,TAP,7.01e-05
DD,JCI,7.47e-05
MLM,NDAQ,0.000244968
CDNS,XRAY,0.00035262
SWK,XEL,0.000463074
CDNS,EIX,0.000572957
CDNS,PEP,0.000619258
MLM,SYK,0.000647505
CDNS,ICE,0.000724476
CDNS,DHR,0.001015388
MLM,RSG,0.001125777
MLM,NOC,0.001152463
SNA,STE,0.001214109
CDNS,VRSN,0.001228986
CDNS,CPRT,0.001258183
FDX,MAR,0.001266344
PNR,PODD,0.001320988
NSC,PTC,0.001626825
FDX,TT,0.001659682
SWK,WEC,0.001709909
MLM,STZ,0.001726989
CDNS,PAYX,0.001791708
CDNS,HUM,0.001822764
JBHT,WELL,0.001848548
CDNS,COST,0.001860936
CDNS,NEE,0.00186948
CCL,EXPE,0.001924464
MLM,WST,0.001953245
CCL,XRAY,0.002118241
JBHT,LEN,0.002187129
CDNS,LNT,0.002209373
CDNS,MTD,0.002251361
VMC,WST,0.002441159
ROP,TGT,0.002527746
SNA,TYL,0.002579089
CDNS,ROL,0.002587954
CDNS,FICO,0.002604681
CDNS,JKHY,0.002611686
CCL,PEG,0.002626378
CDNS,ROP,0.002663471
CDNS,GOOG,0.002715232
CDNS,EXPE,0.002757212
CDNS,IDXX,0.002823663
CDNS,HON,0.002836776
EMN,TROW,0.002854015
CDNS,GOOGL,0.002900232
CDNS,SNPS,0.002982863
JBHT,YUM,0.003004511
CCL,LHX,0.003006732
SWK,UDR,0.003095755
CDNS,REG,0.003164282
BBWI,CBRE,0.003208784
CDNS,IRM,0.003271665
CDNS,HSIC,0.003285447
CDNS,UNH,0.003422567
CDNS,ITW,0.003476938
CDNS,NDAQ,0.003742939
CDNS,T,0.003811114
CDNS,NOC,0.003904148
CDNS,LMT,0.003975374
CDNS,INTU,0.003999754
ROP,WELL,0.004021135
CDNS,OMC,0.004137705
MLM,TTWO,0.004193537
CCL,CI,0.004217837
CDNS,EQIX,0.004221977
CCL,SYK,0.004320123
CDNS,D,0.00438488
CDNS,TDG,0.004387173
CDNS,KLAC,0.004456119
DD,TT,0.004758497
CDNS,PG,0.004823975
PKG,PTC,0.004924631
CDNS,CMS,0.004925734
DOV,PODD,0.005044842
DOV,ETN,0.005210724
CCL,HUM,0.005238368
TEL,TT,0.005241588
CDNS,WAT,0.0052849
MLM,MSFT,0.005290182
DOV,LIN,0.005313779
TEL,WFC,0.005423235
BBWI,LEN,0.005451237
CDNS,SYK,0.005588082
CDNS,NI,0.005641616
FDX,MRK,0.005773143
CDNS,FRT,0.005806533
CDNS,INTC,0.005900105
