selected_stock,leg_stock,pvalue
APH,JCI,1.58e-11
A,JCI,2.18e-08
A,WTW,0.000196428
APH,FIS,0.000358386
APH,PEP,0.000511664
ADSK,DD,0.0005901
A,PTC,0.000685437
APH,IPG,0.000707853
APH,SPGI,0.000935563
ALB,JCI,0.00111411
APH,MMM,0.00130197
LRCX,RSG,0.001525989
A,ROK,0.001540397
A,PH,0.001733728
A,TER,0.001903131
ADSK,LRCX,0.002046806
APH,CMCSA,0.002444742
APH,JPM,0.002534217
A,CE,0.002873042
APH,RJF,0.002878678
A,COF,0.00325669
APH,MMC,0.003533745
A,DD,0.004005259
APH,PTC,0.004409521
APH,CDNS,0.004948044
ADSK,UAL,0.005319572
APH,RE,0.00553004
APH,IFF,0.005862946
APH,LH,0.005979814
ADSK,TXN,0.005996771
APH,SNPS,0.006103732
APH,DTE,0.00652965
APH,NEE,0.006575699
ADSK,SYK,0.007049488
A,D,0.007073184
ADSK,FDX,0.007134085
APH,ITW,0.007149673
ADSK,LHX,0.007319071
ADSK,APD,0.00762461
APH,OMC,0.008282555
A,UPS,0.008407157
ADSK,ICE,0.00875384
APH,COF,0.009099903
LRCX,WM,0.009583511
APH,IT,0.009588893
APH,BALL,0.009666884
APH,ICE,0.010329225
ADSK,PEG,0.010362788
ADSK,CDNS,0.010403783
A,PG,0.010664863
APH,TFC,0.011627762
APH,TT,0.011657777
ADSK,EIX,0.011960028
APH,GL,0.012040316
APH,UPS,0.012386972
APH,TDG,0.01300158
ADSK,AEE,0.013177939
ADSK,CCL,0.013414515
ADSK,KLAC,0.013523875
APH,TRV,0.013572528
A,PODD,0.013872071
APH,IEX,0.013884754
ADSK,BRK-B,0.014224139
LRCX,PCG,0.014502364
A,PCAR,0.014835833
APH,TECH,0.014898754
APH,JNJ,0.015012443
A,WAT,0.015122753
A,LH,0.015246221
A,RJF,0.016084498
LRCX,MLM,0.016225636
EQIX,POOL,0.016280106
A,ADSK,0.016534828
EQIX,VMC,0.016569822
APH,BLK,0.016577462
APH,D,0.016809402
LRCX,SYY,0.017391422
ADSK,PRU,0.017627058
APH,FDX,0.017699117
ADSK,PNC,0.0184766
A,DUK,0.018525749
A,TECH,0.019056776
APH,TER,0.019198647
A,TT,0.019239591
A,CPT,0.019355837
APH,DHI,0.019427739
EQIX,FICO,0.019512765
APH,RMD,0.01952963
LRCX,SYK,0.019872422
ADSK,PLD,0.019960798
APH,INTU,0.020828485
ADSK,TFC,0.020841002
ADSK,CE,0.021058447
APH,MAR,0.021474567
APH,PKG,0.021591717
ADSK,IDXX,0.022138691
EQIX,MLM,0.022532527
ADSK,GD,0.023052576
EQIX,MAS,0.023361472
LRCX,TXN,0.02347694
A,TFC,0.023571142
A,IPG,0.023816299
ADSK,ITW,0.02391417
ADSK,MSI,0.024309899
ADSK,AFL,0.024477285
APH,MLM,0.024480409
ADSK,ALL,0.024779292
LRCX,NOC,0.024939406
APH,PKI,0.025270209
LRCX,PNC,0.025280561
A,OMC,0.02547777
A,BXP,0.02556569
ADSK,RSG,0.025683231
APH,WRB,0.025779539
ALB,TER,0.025835723
APH,PGR,0.025890866
APH,MCO,0.025937631
APH,USB,0.026017227
EQIX,PCG,0.026116975
APH,LNT,0.0262864
ADSK,TT,0.026389704
ADSK,AIZ,0.026945643
APH,PNC,0.02696476
A,RTX,0.027346403
ADSK,MRK,0.027795665
APH,MDLZ,0.028186325
ADSK,AEP,0.028462908
APH,KLAC,0.02854034
ADSK,HBAN,0.028543309
APH,LHX,0.028947813
ADSK,ARE,0.029067038
ADSK,HUM,0.029313107
ADSK,INTC,0.029729979
ADSK,PH,0.02992031
LRCX,TAP,0.030175054
ADSK,PAYX,0.030400757
APH,CB,0.030419165
ADSK,TECH,0.030734666
APH,DHR,0.030946527
ALB,NDSN,0.032069836
APH,DPZ,0.032264278
A,CBRE,0.032301926
APH,LYV,0.032422633
A,AMT,0.03285359
APH,TYL,0.033029455
APH,BRK-B,0.033709401
A,BKNG,0.034009002
APH,CBRE,0.034031941
APH,SNA,0.034074965
APH,MHK,0.034080594
ADSK,BIO,0.034155858
ADSK,OMC,0.034521936
APH,HON,0.034670282
A,ES,0.035041047
ADSK,PTC,0.035348447
A,TROW,0.035491755
A,LNT,0.035684409
ADSK,BA,0.035695016
ADSK,UPS,0.035774156
A,ETN,0.035850543
ADSK,JCI,0.035913292
A,NSC,0.035954595
ADSK,PEP,0.036202203
A,CCI,0.036693282
APH,PG,0.037244324
ADSK,UNH,0.037253935
ADSK,APH,0.037353768
ADSK,MSFT,0.037504288
APH,BA,0.037757474
LRCX,MSFT,0.037759994
APH,MTB,0.037800288
APH,CAG,0.038015822
APH,MTD,0.038161358
A,COO,0.038534482
A,IEX,0.038566261
ADSK,TER,0.038648133
A,KLAC,0.038663157
APH,CMS,0.038929786
ADSK,CMA,0.038969015
EQIX,SYY,0.039077227
ADSK,REG,0.039189384
APH,MRK,0.039204133
ADSK,AMAT,0.039246639
A,GPC,0.039421641
A,ANSS,0.03950769
APH,TXN,0.039864302
ADSK,MAR,0.040015262
ADSK,LYV,0.040264217
A,AEP,0.040538874
ADSK,MCHP,0.040983482
A,TEL,0.040995682
ADSK,TEL,0.041181515
EQIX,NVR,0.041184639
ADSK,SYY,0.041474468
APH,CMA,0.041813786
A,MCHP,0.042221018
APH,MAS,0.042707123
APH,MSI,0.042763666
APH,VMC,0.042894912
APH,ODFL,0.042948994
LRCX,PEG,0.043110395
A,DTE,0.043561102
A,HON,0.044078353
ADSK,CME,0.044144469
A,APD,0.044203108
A,ADI,0.044302911
ADSK,PG,0.044562124
ADSK,PKI,0.044763638
APH,PCG,0.044781086
ADSK,GL,0.04554266
A,CSX,0.045848217
