selected_stock,leg_stock,pvalue
C,HAL,5.12E-06
C,GEN,5.15E-06
C,RHI,5.19E-06
C,TXN,5.24E-06
C,TSN,5.25E-06
FDS,LH,5.48E-06
C,EA,5.67E-06
C,CI,5.73E-06
C,FICO,5.82E-06
CAG,PGR,5.84E-06
C,KR,5.86E-06
C,TGT,5.90E-06
C,CDNS,5.93E-06
C,PNC,6.22E-06
C,GD,6.32E-06
C,PARA,6.35E-06
DOV,PXD,6.43E-06
C,WMB,6.71E-06
JCI,SBUX,6.71E-06
C,WBA,6.79E-06
C,TPR,6.83E-06
C,HUM,6.87E-06
C,CINF,6.93E-06
C,STX,6.94E-06
C,MAR,7.01E-06
C,SNPS,7.09E-06
C,IP,7.13E-06
C,WHR,7.20E-06
JCI,LH,7.20E-06
C,PLD,7.28E-06
C,EFX,7.48E-06
JCI,KLAC,7.52E-06
C,OMC,7.56E-06
C,ETN,7.83E-06
C,NOC,7.87E-06
C,STZ,7.88E-06
C,EQT,8.02E-06
C,LMT,8.05E-06
AMGN,JCI,8.12E-06
C,JNPR,8.13E-06
C,TEL,8.28E-06
C,RE,8.45E-06
C,TAP,8.80E-06
C,USB,9.25E-06
C,MTB,9.38E-06
C,URI,9.38E-06
C,FIS,9.59E-06
C,FCX,9.68E-06
C,EXPE,9.75E-06
C,CTAS,9.80E-06
C,STT,9.90E-06
C,IVZ,9.93E-06
C,T,9.93E-06
ABC,JCI,1.01E-05
C,PFE,1.03E-05
C,HON,1.04E-05
D,GPC,1.05E-05
C,WTW,1.06E-05
CLX,NVR,1.07E-05
C,PRU,1.10E-05
C,ROK,1.11E-05
DVA,LEN,1.12E-05
C,MSFT,1.12E-05
C,EQIX,1.14E-05
JCI,SPGI,1.16E-05
JCI,REGN,1.18E-05
C,IRM,1.22E-05
C,WM,1.22E-05
C,MOH,1.22E-05
JCI,NI,1.22E-05
ED,JCI,1.23E-05
C,NEE,1.23E-05
C,LOW,1.26E-05
GOOG,JCI,1.26E-05
C,CAT,1.27E-05
BALL,IT,1.30E-05
C,MPWR,1.32E-05
C,CMCSA,1.33E-05
C,SYY,1.34E-05
C,CMS,1.34E-05
JCI,STE,1.35E-05
JCI,PCAR,1.35E-05
C,IPG,1.36E-05
C,MKTX,1.38E-05
ABT,SBAC,1.39E-05
C,POOL,1.39E-05
C,CVS,1.39E-05
C,SBAC,1.42E-05
C,CE,1.42E-05
C,EBAY,1.43E-05
C,INTC,1.45E-05
C,RSG,1.46E-05
FITB,TFC,1.47E-05
C,PEP,1.50E-05
C,FISV,1.50E-05
MLM,MPWR,1.51E-05
C,CPB,1.53E-05
C,CAG,1.53E-05
C,PKI,1.54E-05
C,WRB,1.54E-05
C,WYNN,1.56E-05
C,NI,1.56E-05
C,DXCM,1.59E-05
FAST,JCI,1.59E-05
C,VRSN,1.61E-05
C,WST,1.61E-05
IT,MDLZ,1.61E-05
JCI,NKE,1.61E-05
C,J,1.62E-05
C,GE,1.66E-05
C,CCI,1.69E-05
C,NVR,1.70E-05
C,TMO,1.71E-05
C,JPM,1.71E-05
C,ITW,1.74E-05
IPG,PEP,1.74E-05
C,GL,1.75E-05
C,GILD,1.78E-05
C,MTCH,1.81E-05
C,GPN,1.81E-05
C,WFC,1.83E-05
C,DTE,1.91E-05
C,LNT,1.91E-05
C,TRMB,1.91E-05
C,DPZ,1.94E-05
C,D,1.96E-05
LH,MTD,1.96E-05
C,MMM,1.96E-05
C,IEX,1.99E-05
C,PNR,2.01E-05
C,VTRS,2.01E-05
C,NVDA,2.03E-05
JCI,WHR,2.04E-05
C,GOOGL,2.06E-05
C,HD,2.10E-05
C,VLO,2.12E-05
C,GOOG,2.16E-05
CPT,JCI,2.17E-05
C,CSGP,2.17E-05
C,SWK,2.17E-05
C,DFS,2.17E-05
C,JKHY,2.19E-05
C,SRE,2.25E-05
SWK,WAT,2.27E-05
C,CNC,2.29E-05
C,KMX,2.30E-05
C,VZ,2.33E-05
C,FSLR,2.39E-05
GOOGL,JCI,2.40E-05
C,PCG,2.40E-05
C,MNST,2.40E-05
C,PODD,2.42E-05
CE,JCI,2.42E-05
C,RL,2.44E-05
C,UPS,2.45E-05
C,EXR,2.49E-05
C,EMR,2.49E-05
C,IFF,2.50E-05
BBWI,JCI,2.53E-05
C,CB,2.59E-05
C,PGR,2.61E-05
FDS,JCI,2.61E-05
C,UDR,2.63E-05
C,LH,2.71E-05
C,VMC,2.72E-05
C,DOV,2.73E-05
ACN,CMS,2.74E-05
C,ON,2.75E-05
C,CBRE,2.76E-05
C,STE,2.76E-05
C,SBUX,2.76E-05
D,IT,2.76E-05
HRL,TYL,2.83E-05
D,UPS,2.86E-05
C,CNP,2.88E-05
C,MDLZ,2.89E-05
C,DE,2.90E-05
C,INCY,3.05E-05
C,MMC,3.06E-05
C,RJF,3.06E-05
C,HSIC,3.09E-05
C,SNA,3.15E-05
C,TDY,3.17E-05
C,DIS,3.21E-05
C,PPG,3.23E-05
C,HAS,3.23E-05
C,PH,3.26E-05
C,HRL,3.32E-05
C,WAT,3.32E-05
C,ORLY,3.33E-05
C,CLX,3.36E-05
CCI,DHI,3.41E-05
C,MCK,3.44E-05
C,REGN,3.45E-05
C,EVRG,3.46E-05
C,MCHP,3.47E-05
C,VFC,3.50E-05
CBRE,KMX,3.58E-05
AIG,MOS,3.62E-05
C,KMB,3.68E-05
C,PKG,3.69E-05
C,PTC,3.72E-05
FITB,PFG,3.79E-05
C,SHW,3.81E-05
INTC,JCI,3.81E-05
C,DHR,3.82E-05
C,TRV,3.83E-05
C,COO,3.89E-05
C,CTRA,3.92E-05
C,GPC,3.95E-05
C,PPL,3.97E-05
LH,UDR,4.00E-05
AMP,DISH,4.05E-05
C,FRT,4.08E-05
ANSS,LEN,4.11E-05
C,OKE,4.22E-05
C,MO,4.23E-05
C,MTD,4.26E-05
TMUS,WM,4.26E-05
C,TYL,4.28E-05
C,RTX,4.35E-05
AON,SPGI,4.35E-05
C,ES,4.37E-05
C,K,4.39E-05
JCI,ORLY,4.40E-05
C,COST,4.41E-05
JCI,MCO,4.41E-05
LEN,SBAC,4.42E-05
C,TDG,4.47E-05
C,ESS,4.56E-05
MAS,XRAY,4.61E-05
C,JNJ,4.65E-05
JCI,PGR,4.66E-05
HBAN,PFG,4.68E-05
BIIB,WAB,4.72E-05
NEE,SPGI,4.76E-05
JCI,STX,4.96E-05
C,DRI,5.14E-05
C,VRTX,5.19E-05
C,NKE,5.24E-05
C,SJM,5.27E-05
C,DVN,5.30E-05
AEP,PEP,5.38E-05
C,CTSH,5.47E-05
BIO,JCI,5.48E-05
CLX,EXR,5.48E-05
FITB,USB,5.59E-05
C,SWKS,5.60E-05
C,ECL,5.63E-05
ADP,TDG,5.65E-05
C,ROP,5.66E-05
LEN,PFE,5.67E-05
C,HSY,5.67E-05
C,WEC,5.69E-05
SNPS,WRB,5.69E-05
C,CVX,5.73E-05
AMT,DUK,5.79E-05
CB,DTE,5.87E-05
C,TECH,5.89E-05
C,UHS,5.98E-05
C,LVS,6.03E-05
BDX,STZ,6.05E-05
C,CME,6.06E-05
NDAQ,VMC,6.06E-05
DISH,IVZ,6.07E-05
C,PFG,6.12E-05
C,EMN,6.14E-05
IFF,LH,6.22E-05
C,PG,6.23E-05
C,WAB,6.23E-05
AJG,JBHT,6.25E-05
JCI,LHX,6.27E-05
C,FDS,6.30E-05
JCI,WST,6.35E-05
DPZ,WST,6.47E-05
OMC,UPS,6.67E-05
C,WDC,6.67E-05
EVRG,SYY,6.70E-05
CLX,HRL,6.83E-05
C,ODFL,6.86E-05
FDX,JCI,6.95E-05
MLM,TAP,7.01E-05
C,MA,7.13E-05
C,ILMN,7.18E-05
C,NFLX,7.21E-05
C,SPG,7.28E-05
EXPE,LLY,7.32E-05
C,EL,7.34E-05
C,MKC,7.36E-05
BR,NOC,7.41E-05
AMT,DTE,7.45E-05
DD,JCI,7.47E-05
JCI,UDR,7.51E-05
C,DVA,7.57E-05
DHI,SHW,7.57E-05
DHR,IFF,7.75E-05
C,IT,7.75E-05
C,NTAP,7.86E-05
EMR,JCI,7.86E-05
C,PNW,7.90E-05
C,NSC,7.95E-05
C,CHD,7.95E-05
CL,LEN,8.09E-05
C,CL,8.16E-05
MKC,WEC,8.27E-05
ISRG,JCI,8.33E-05
CI,WBA,8.55E-05
C,WBD,8.56E-05
C,TSCO,8.60E-05
MDLZ,ROP,8.61E-05
C,XEL,8.65E-05
C,PWR,8.68E-05
C,DUK,8.68E-05
C,DGX,8.71E-05
C,EOG,8.94E-05
LEN,ROP,8.95E-05
CBRE,WAT,8.99E-05
C,LKQ,9.03E-05
C,EW,9.08E-05
JCI,PNC,9.17E-05
IDXX,MCHP,9.17E-05
C,CPRT,9.22E-05
C,ROL,9.38E-05
C,JCI,9.42E-05
DHI,LLY,9.51E-05
C,KO,9.63E-05
BF-B,LEN,9.67E-05
CCI,LEN,9.68E-05
AME,LEN,9.77E-05
EFX,TFX,9.78E-05
KEY,USB,9.82E-05
IRM,JCI,9.99E-05
C,PXD,0.000100749
MAS,SYK,0.000100895
HIG,KEY,0.000103429
FITB,PNC,0.000103458
EVRG,JCI,0.000103923
C,GWW,0.000105129
JCI,MNST,0.00010544
AOS,JCI,0.000106169
C,PSA,0.000106384
C,CMG,0.000106755
C,IDXX,0.000107264
C,UNP,0.000107417
SEE,WBA,0.000107946
JCI,XRAY,0.000108094
JCI,WDC,0.000110966
C,RMD,0.000111447
ALL,BRK-B,0.000112137
JCI,NVR,0.000113303
BRO,JCI,0.000113707
C,TROW,0.000113728
HBAN,WFC,0.000114003
JCI,TXN,0.000114454
AMT,ES,0.000114501
C,TJX,0.000115165
FITB,TDY,0.000115186
C,INTU,0.000116155
DHI,KMB,0.000116708
C,HPQ,0.000116775
JCI,PAYX,0.000117057
JCI,MHK,0.00011877
C,CRM,0.000119685
JCI,LOW,0.000121427
C,QCOM,0.000124133
AXP,JCI,0.0001243
HBAN,SCHW,0.000126591
IT,ROP,0.000126768
CBRE,ROP,0.000127826
AVY,MAS,0.000128969
WAT,WTW,0.00013145
DHI,EXPE,0.000131565
C,DLTR,0.000131789
JCI,PEAK,0.000132935
C,MAA,0.000134296
ILMN,JCI,0.000134861
EBAY,LEN,0.000135212
KEY,TFC,0.000135996
ACN,XEL,0.000137125
KEY,SCHW,0.00013787
ACN,SJM,0.000139053
C,CSX,0.000139805
JCI,VTRS,0.00014122
MA,MDLZ,0.000143451
CHD,DHI,0.000143998
HBAN,USB,0.000145029
C,ED,0.000146095
BIIB,DISH,0.0001464
RF,TFC,0.000148134
BDX,TFX,0.000153503
JCI,POOL,0.000154833
DHI,HD,0.000158065
MMC,NEE,0.00015984
C,O,0.000160852
C,MET,0.000161638
IPG,MMM,0.000163868
PEG,SYK,0.000163888
DHI,PFE,0.000164654
ALGN,POOL,0.000165438
SYY,WM,0.000165489
AJG,HSY,0.000166654
ABT,LEN,0.000167482
SPGI,TECH,0.000168204
C,CMI,0.000168938
C,NUE,0.000169031
ADI,RJF,0.000169405
ICE,PAYX,0.000170719
PEG,XRAY,0.000173806
DHR,PEP,0.000173988
C,ROST,0.000175718
C,FAST,0.00017738
CBRE,CE,0.000179187
SPGI,TDG,0.000179568
JCI,JPM,0.00018303
JCI,TER,0.000183512
C,WMT,0.000183536
C,CPT,0.00018519
ACN,PGR,0.000187683
FITB,PRU,0.000192206
A,WTW,0.000196428
KO,LEN,0.000200306
C,YUM,0.00020036
FITB,RJF,0.000201618
HD,TYL,0.000202201
C,GIS,0.000203155
KEY,STT,0.000203684
HSY,LKQ,0.000204287
COST,ROP,0.000206834
SBAC,SRE,0.000209345
FITB,JPM,0.000211344
AIG,HES,0.0002118
ACN,MKC,0.000213016
KEY,PNC,0.000213694
EIX,XRAY,0.000214664
DHI,EXR,0.00021776
KEY,PFG,0.000220949
FITB,GRMN,0.000221298
JCI,UNH,0.000223046
HBAN,PNC,0.000224605
HBAN,JPM,0.000225042
DHI,MDLZ,0.000227268
ES,IT,0.000227777
C,F,0.000230218
DHI,ROP,0.000234228
PTC,RJF,0.000235306
PH,ROK,0.000236197
BKNG,D,0.000242364
C,JBHT,0.00024358
COF,TEL,0.000244076
ICE,NWL,0.000244675
MLM,NDAQ,0.000244968
DPZ,JCI,0.000246831
HBAN,LNC,0.000247945
AFL,JCI,0.00024866
IVZ,STX,0.000249154
FITB,MTB,0.000251529
DHI,MKC,0.000251674
C,FMC,0.000254213
LEN,WELL,0.000258853
AOS,DPZ,0.00026062
ALK,JCI,0.000260981
CBRE,COO,0.000262066
NOC,TFX,0.000262313
ACN,WEC,0.000262343
JCI,WM,0.000263093
KEY,NDAQ,0.000265444
HBAN,TFC,0.000266475
C,CF,0.000267228
DTE,MTD,0.000270453
BIIB,SBAC,0.000272539
ABC,VRTX,0.000274871
KEY,TXT,0.000275054
C,SO,0.00027636
C,ORCL,0.000278494
TSN,WM,0.000279438
TMUS,TSN,0.000283845
JCI,MOH,0.000288885
DHR,IT,0.000290099
MGM,RF,0.000290148
MDLZ,SBUX,0.00029083
COF,PH,0.000291062
AVB,JCI,0.000292533
HON,IPG,0.000297054
DHI,TJX,0.000303174
AES,BG,0.000306211
KLAC,LNT,0.000306504
APD,SPGI,0.000306741
NTRS,TMUS,0.000309853
AVY,SYK,0.000310003
CB,LNT,0.000310106
CBRE,RMD,0.000311706
PPG,SRE,0.000311723
FITB,GL,0.000314717
CCI,EBAY,0.000315526
LEN,TSCO,0.000316804
SBAC,WFC,0.000316922
INTU,LH,0.000317346
FMC,JCI,0.000317881
C,NDSN,0.000322765
C,LIN,0.000324768
ESS,LH,0.000326002
LEN,SHW,0.000326435
ACN,GIS,0.000326472
BK,NTRS,0.000327717
AEP,KLAC,0.00033034
CRL,TMUS,0.000332197
LMT,STZ,0.000332242
ADBE,LMT,0.000332689
KEY,MET,0.00033285
BIIB,VFC,0.000340912
CTAS,DPZ,0.000341076
BDX,JCI,0.000341974
COST,IT,0.000342194
DE,JCI,0.000342844
EXPE,JCI,0.000343163
DUK,WELL,0.0003434
EXR,HRL,0.000344268
JCI,RSG,0.0003446
AIG,FSLR,0.000348674
CI,MHK,0.00034901
DHI,TRV,0.00035127
CPT,KO,0.000352435
LEN,TJX,0.000352472
CDNS,XRAY,0.00035262
DHI,PEP,0.000354489
COF,TDY,0.000356836
APH,FIS,0.000358386
ICE,XRAY,0.00035905
NI,TFX,0.000360142
RJF,UPS,0.00036158
DHI,EBAY,0.000361967
HSIC,IPG,0.000364607
HBAN,KIM,0.000368296
AMT,CB,0.000369874
CBRE,VFC,0.000369995
JCI,VRTX,0.000374039
KO,SPG,0.000379443
FIS,MMM,0.000385188
HBAN,HOLX,0.000388338
EW,PCG,0.000388488
EXR,VRSN,0.000388632
CAG,JCI,0.00038974
DPZ,POOL,0.000389783
COF,JCI,0.000392718
MMM,PEP,0.00039454
EL,KO,0.000395167
GPC,WELL,0.000398073
RF,SCHW,0.000399139
CPT,LH,0.000400248
DHR,IPG,0.000400599
INTU,IT,0.000402726
KEY,LVS,0.000403842
AMT,BALL,0.000405475
PG,WY,0.000408261
CBRE,COST,0.000408352
COF,TT,0.000410466
NDAQ,PEG,0.000411163
COF,MTB,0.000414116
COO,GPC,0.000416504
CB,UPS,0.00041733
KEY,TDY,0.000423765
ACN,PNW,0.000427808
AIG,PPL,0.000427933
CBRE,CL,0.00042828
TMUS,WBA,0.000435665
AMGN,MCO,0.000440988
C,EQR,0.000442236
C,DLR,0.000443615
RF,USB,0.000443947
O,XEL,0.00044651
NWL,XRAY,0.000447914
ACN,DTE,0.000453364
LLY,MOH,0.000456884
CBRE,EOG,0.000457665
FITB,PH,0.000459224
SWK,XEL,0.000463074
ACN,ES,0.000467855
LEN,LKQ,0.000468163
MSFT,RSG,0.000470884
CPT,SO,0.000477482
DRI,LH,0.000478733
MTD,XEL,0.000482968
CMCSA,MA,0.000483127
TMUS,WRB,0.000485165
BALL,LH,0.000485394
AON,NEE,0.000485441
DHR,LNT,0.000487726
CRM,ES,0.000489151
CBRE,ORCL,0.000490456
ORLY,TYL,0.000490913
KEY,MTB,0.000493989
ADBE,SYK,0.00049717
KO,WTW,0.000498086
ANSS,WTW,0.000498118
IFF,PGR,0.000498919
COF,ROK,0.000499313
LH,MAA,0.000499696
C,STLD,0.000502532
COST,DHI,0.000503633
BALL,D,0.00050424
AVB,LH,0.000504326
EXR,NVR,0.000507312
AES,J,0.000507717
EXPE,NVR,0.000509178
APH,PEP,0.000511664
MPWR,VMC,0.000512724
LEN,SPG,0.000517779
DPZ,EFX,0.000519554
CBRE,REGN,0.00052007
DHI,FRT,0.000520507
BDX,BR,0.000521852
COST,MDLZ,0.000522382
AIG,APA,0.000522738
COF,RJF,0.00052293
IPG,PKI,0.000527524
LNC,STT,0.000536336
AMT,D,0.000540351
GL,UPS,0.000541126
ADM,JCI,0.000542081
C,IBM,0.000542167
FIS,IFF,0.000548149
PODD,URI,0.000549613
IDXX,SYY,0.000551425
CMCSA,D,0.000555705
AIG,BG,0.000556216
IFF,MMM,0.000559392
HON,PEP,0.000560329
CNC,JCI,0.000563405
HSIC,IFF,0.000563723
JCI,ZBRA,0.000572072
KEY,LNC,0.000572314
ATVI,MLM,0.000572323
CDNS,EIX,0.000572957
CBRE,EL,0.000577187
KEY,LHX,0.000577362
IFF,TRV,0.000580248
FITB,PODD,0.000586383
ADSK,DD,0.0005901
APD,FDX,0.000595029
MKC,O,0.000596224
ADBE,BDX,0.000599145
ES,ROP,0.000599656
DHI,MA,0.000601573
K,PGR,0.000602025
LH,XEL,0.000608801
PTC,UPS,0.000608985
CRM,LH,0.000611425
DHI,VRSN,0.000612589
DHR,MDLZ,0.000613046
CDNS,PEP,0.000619258
DHR,MTD,0.000620181
STZ,TFX,0.000621865
ADP,FIS,0.000624801
HRL,NVR,0.000627037
COF,MRK,0.000627396
LOW,STE,0.000629174
CL,DHI,0.000635283
C,WELL,0.000638343
LH,LNT,0.000640263
AON,TECH,0.000645147
ACN,CAG,0.000645921
PHM,SBAC,0.000647476
MLM,SYK,0.000647505
MDLZ,TRV,0.00065379
LOW,TYL,0.000655216
DHI,HSIC,0.000655813
JCI,NFLX,0.000660014
MTD,WEC,0.00066153
CBRE,IEX,0.000666128
ACGL,ADI,0.000666588
MAS,PAYX,0.000667003
REG,XRAY,0.000670856
ADBE,MAS,0.00067126
LH,MCHP,0.00067194
CB,D,0.000676836
KEY,SYK,0.000678345
DHI,TDG,0.000679356
ICE,MHK,0.000683987
C,ISRG,0.000684625
A,PTC,0.000685437
PEP,SPGI,0.000694413
TMUS,USB,0.000695823
ICE,PEP,0.000696286
CMCSA,IT,0.000697538
TAP,VMC,0.000697736
JCI,PCG,0.000698955
BDX,MLM,0.000706468
CBRE,TROW,0.000706776
APH,IPG,0.000707853
BIO,MCHP,0.000710023
MTB,RJF,0.00071095
ESS,ROP,0.000712985
BA,TEL,0.000713232
PHM,SRE,0.000714008
EIX,KLAC,0.000722504
CDNS,ICE,0.000724476
ICE,KLAC,0.000730833
FITB,PTC,0.000735679
KEY,WFC,0.000737769
IT,TRV,0.000745981
CRM,WTW,0.000754918
MTD,SNPS,0.000759961
JCI,TRMB,0.000761233
FITB,UPS,0.000761842
ADI,MTD,0.000769621
IPG,LH,0.000773856
ABT,REGN,0.000784226
MRK,TFC,0.000785698
TMUS,VRSN,0.000786684
CL,GPC,0.000788181
BALL,ESS,0.000789985
FIS,PEP,0.000794449
FIS,TRV,0.000795824
PCAR,TT,0.000798026
D,ROP,0.000802218
ALGN,PAYX,0.000804724
ATO,POOL,0.000811544
CPT,WAT,0.000811733
C,LNC,0.000814415
IFF,IT,0.000815446
IFF,IPG,0.000816653
KEY,RJF,0.000820886
AEP,XRAY,0.000822632
KEY,PODD,0.000824086
DHR,DTE,0.000828689
RSG,TXN,0.000829124
LMT,TMUS,0.000832256
C,MCD,0.000839681
DHI,NEE,0.00084023
C,GLW,0.000841943
ECL,UPS,0.000842458
CBRE,STE,0.000842632
BAX,CPRT,0.000842918
PEP,XRAY,0.00084317
DE,TER,0.000845764
O,WEC,0.0008505
COF,PG,0.000852354
PFE,ROP,0.000854052
NOC,TAP,0.000854763
DHI,ES,0.000855644
ATVI,VMC,0.000856644
LEN,REGN,0.00085682
IEX,IPG,0.000861913
DHI,WEC,0.000862738
ALGN,ITW,0.0008643
CVS,MOH,0.000868937
FIS,SPGI,0.000880419
CTAS,UNH,0.000883088
TMUS,TRV,0.000885961
PODD,XOM,0.000887992
INTU,TDG,0.000891899
KEY,TT,0.000893875
COF,D,0.000896896
HBAN,RJF,0.000897894
ADBE,MLM,0.00089907
PPG,SBAC,0.0008991
NWL,PEP,0.000902747
VRSN,XRAY,0.000903294
INTU,SWK,0.000903389
ATVI,TAP,0.000903987
DHR,SPGI,0.000904489
MHK,PKI,0.000904833
TDY,USB,0.000907849
FITB,SCHW,0.0009101
ETN,RTX,0.000918845
DHI,SPG,0.000932689
APH,SPGI,0.000935563
CMS,LH,0.000939582
BALL,ES,0.000941642
IFF,WAT,0.000946946
JKHY,POOL,0.000946986
DXCM,SEE,0.00095549
RF,STT,0.000956397
BA,COF,0.000956471
AIG,JNPR,0.000959944
FITB,T,0.000963561
BR,TFX,0.000963914
DRI,ROL,0.0009651
FICO,UNH,0.00097784
IFF,PEP,0.000978205
COF,UPS,0.00098403
LNT,MTD,0.000985727
RMD,WELL,0.000991702
ICE,JCI,0.000992275
